Rk,Gtm,Date,...4,Opp,Type,ScoreRslt,ScoreTm,ScoreOpp,ScoreOT,TeamFG,TeamFGA,TeamFG_pct,Team3P,Team3PA,Team3P_pct,Team2P,Team2PA,Team2P_pct,TeameFG_pct,TeamFT,TeamFTA,TeamFT_pct,TeamORB,TeamDRB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,OpponentFG,OpponentFGA,OpponentFG_pct,Opponent3P,Opponent3PA,Opponent3P_pct,Opponent2P,Opponent2PA,Opponent2P_pct,OpponenteFG_pct,OpponentFT,OpponentFTA,OpponentFT_pct,OpponentORB,OpponentDRB,OpponentTRB,OpponentAST,OpponentSTL,OpponentBLK,OpponentTOV,OpponentPF,team,season,homeaway,team_full,year,alphteam,gameid,Neutral
16,16,2026-01-12,@,Alabama State,REG (Conf),L,66,81,NA,23,61,.377,8,26,.308,15,35,.429,.443,12,16,.750,10,17,27,11,9,2,13,18,26,50,.520,8,21,.381,18,29,.621,.600,21,26,.808,5,28,33,12,9,5,15,14,alcorn-state,2026,H,Alcorn State,2026,Alabama State,2026-01-12_Alcorn State_66_Alabama State_81,0
19,19,2026-01-24,@,Florida A&M,REG (Conf),L,58,66,NA,22,51,.431,3,15,.200,19,36,.528,.461,11,15,.733,5,15,20,10,12,1,16,13,25,49,.510,7,19,.368,18,30,.600,.582,9,14,.643,8,22,30,18,11,7,18,14,alcorn-state,2026,H,Alcorn State,2026,Alcorn State,2026-01-24_Alcorn State_58_Florida A&M_66,0
20,20,2026-01-26,@,Bethune Cookman,REG (Conf),L,73,82,NA,29,67,.433,7,19,.368,22,48,.458,.485,8,12,.667,8,23,31,13,8,1,9,18,30,55,.545,4,16,.250,26,39,.667,.582,18,26,.692,6,28,34,17,6,6,11,12,alcorn-state,2026,H,Alcorn State,2026,Alcorn State,2026-01-26_Alcorn State_73_Bethune Cookman_82,0
23,23,2026-02-07,@,Arkansas Pine Bluff,REG (Conf),L,77,84,NA,28,56,.500,10,19,.526,18,37,.486,.589,11,13,.846,4,14,18,11,11,2,10,18,28,49,.571,9,17,.529,19,32,.594,.663,19,24,.792,9,19,28,15,5,5,15,13,alcorn-state,2026,H,Alcorn State,2026,Alcorn State,2026-02-07_Alcorn State_77_Arkansas Pine Bluff_84,0
24,24,2026-02-09,@,Mississippi Valley State,REG (Conf),W,74,66,NA,25,47,.532,10,24,.417,15,23,.652,.638,14,20,.700,2,18,20,14,7,4,4,22,25,52,.481,4,14,.286,21,38,.553,.519,12,23,.522,11,22,33,13,3,1,11,16,alcorn-state,2026,H,Alcorn State,2026,Alcorn State,2026-02-09_Alcorn State_74_Mississippi Valley State_66,0
28,28,2026-02-26,@,Texas Southern,REG (Conf),L,87,92,OT,30,67,.448,7,24,.292,23,43,.535,.500,20,27,.741,12,24,36,13,6,2,11,20,35,71,.493,3,14,.214,32,57,.561,.514,19,24,.792,13,26,39,15,9,6,9,20,alcorn-state,2026,H,Alcorn State,2026,Alcorn State,2026-02-26_Alcorn State_87_Texas Southern_92,0
29,29,2026-02-28,@,Prairie View A&M,REG (Conf),L,51,72,NA,17,55,.309,5,14,.357,12,41,.293,.355,12,14,.857,5,23,28,5,5,0,14,15,29,63,.460,5,18,.278,24,45,.533,.500,9,15,.600,8,34,42,16,8,14,8,12,alcorn-state,2026,H,Alcorn State,2026,Alcorn State,2026-02-28_Alcorn State_51_Prairie View A&M_72,0
1,1,2025-11-03,@,Wake Forest,REG (Non-Conf),L,74,88,NA,25,58,.431,8,30,.267,17,28,.607,.500,16,18,.889,8,23,31,11,7,0,18,18,31,65,.477,7,25,.280,24,40,.600,.531,19,24,.792,10,26,36,20,16,5,11,20,american,2026,H,American,2026,American,2025-11-03_American_74_Wake Forest_88,0
3,3,2025-11-12,@,George Washington,REG (Non-Conf),L,67,107,NA,28,62,.452,7,28,.250,21,34,.618,.508,4,8,.500,5,15,20,13,6,4,16,22,33,59,.559,15,28,.536,18,31,.581,.686,26,33,.788,12,30,42,21,12,1,13,12,american,2026,H,American,2026,American,2025-11-12_American_67_George Washington_107,0
5,5,2025-11-18,@,Rutgers,REG (Non-Conf),L,71,80,NA,24,68,.353,12,32,.375,12,36,.333,.441,11,14,.786,5,16,21,13,5,1,7,21,25,53,.472,6,15,.400,19,38,.500,.528,24,30,.800,6,30,36,12,1,6,11,18,american,2026,H,American,2026,American,2025-11-18_American_71_Rutgers_80,0
