Rk,Gtm,Date,...4,Opp,Type,ScoreRslt,ScoreTm,ScoreOpp,ScoreOT,TeamFG,TeamFGA,TeamFG_pct,Team3P,Team3PA,Team3P_pct,Team2P,Team2PA,Team2P_pct,TeameFG_pct,TeamFT,TeamFTA,TeamFT_pct,TeamORB,TeamDRB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,OpponentFG,OpponentFGA,OpponentFG_pct,Opponent3P,Opponent3PA,Opponent3P_pct,Opponent2P,Opponent2PA,Opponent2P_pct,OpponenteFG_pct,OpponentFT,OpponentFTA,OpponentFT_pct,OpponentORB,OpponentDRB,OpponentTRB,OpponentAST,OpponentSTL,OpponentBLK,OpponentTOV,OpponentPF,team,season
11,11,2021-12-22,,Longwood,REG (Non-Conf),W,74,58,,24,48,.500,6,19,.316,18,29,.621,.563,20,27,.741,3,29,32,17,11,2,16,26,18,55,.327,5,23,.217,13,32,.406,.373,17,30,.567,10,24,34,8,6,0,21,25,abilene-christian,2022
12,12,2021-12-30,@,Utah Valley,REG (Conf),W,80,76,,31,63,.492,10,25,.400,21,38,.553,.571,8,9,.889,9,16,25,23,12,0,6,15,29,50,.580,12,23,.522,17,27,.630,.700,6,8,.750,7,23,30,22,3,8,16,10,abilene-christian,2022
13,13,2022-01-01,@,Dixie State,REG (Conf),W,64,50,,22,61,.361,4,20,.200,18,41,.439,.393,16,24,.667,10,23,33,10,15,3,12,23,14,43,.326,2,18,.111,12,25,.480,.349,20,27,.741,8,32,40,10,6,5,27,29,abilene-christian,2022
14,14,2022-01-06,,Stephen F. Austin,REG (Conf),L,58,64,,21,56,.375,2,17,.118,19,39,.487,.393,14,18,.778,3,18,21,11,11,2,15,20,22,43,.512,10,22,.455,12,21,.571,.628,10,16,.625,3,31,34,15,3,7,22,21,abilene-christian,2022
15,15,2022-01-08,,Sam Houston State,REG (Conf),L,63,65,,22,52,.423,10,22,.455,12,30,.400,.519,9,12,.750,6,18,24,12,4,0,11,17,23,46,.500,10,21,.476,13,25,.520,.609,9,16,.563,7,25,32,9,7,4,15,16,abilene-christian,2022
16,16,2022-01-13,@,Grand Canyon,REG (Conf),L,68,95,,26,61,.426,7,21,.333,19,40,.475,.484,9,14,.643,7,13,20,9,9,1,9,20,34,54,.630,12,24,.500,22,30,.733,.741,15,21,.714,7,27,34,18,4,3,15,17,abilene-christian,2022
17,17,2022-01-15,@,New Mexico State,REG (Conf),L,63,77,,17,50,.340,5,24,.208,12,26,.462,.390,24,27,.889,8,16,24,7,6,0,12,29,23,45,.511,11,23,.478,12,22,.545,.633,20,30,.667,7,19,26,9,4,2,12,21,abilene-christian,2022
18,18,2022-01-20,,Seattle,REG (Conf),L,62,72,,21,63,.333,7,24,.292,14,39,.359,.389,13,16,.813,9,22,31,7,11,4,14,25,21,47,.447,5,18,.278,16,29,.552,.500,25,31,.806,3,28,31,9,8,6,18,18,abilene-christian,2022
19,19,2022-01-22,,California Baptist,REG (Conf),W,77,68,,27,59,.458,9,21,.429,18,38,.474,.534,14,22,.636,8,18,26,17,9,2,15,25,18,48,.375,6,24,.250,12,24,.500,.438,26,34,.765,12,26,38,9,10,0,23,23,abilene-christian,2022
20,20,2022-01-26,@,Texas–Rio Grande Valley,REG (Conf),W,87,85,,28,66,.424,7,30,.233,21,36,.583,.477,24,30,.800,9,15,24,20,12,2,12,28,27,46,.587,6,16,.375,21,30,.700,.652,25,32,.781,6,25,31,14,4,6,26,27,abilene-christian,2022
21,21,2022-01-29,@,Lamar,REG (Conf),W,85,82,,26,63,.413,7,24,.292,19,39,.487,.468,26,39,.667,14,25,39,14,6,1,9,21,27,60,.450,7,16,.438,20,44,.455,.508,21,27,.778,8,25,33,18,5,4,12,28,abilene-christian,2022
22,22,2022-02-02,,Chicago State,REG (Conf),W,77,73,,27,52,.519,3,14,.214,24,38,.632,.548,20,24,.833,5,17,22,14,14,2,11,22,25,46,.543,11,23,.478,14,23,.609,.663,12,18,.667,6,19,25,11,3,3,22,22,abilene-christian,2022
23,23,2022-02-05,,Texas–Rio Grande Valley,REG (Conf),W,83,66,,33,70,.471,8,21,.381,25,49,.510,.529,9,15,.600,12,25,37,23,12,4,12,24,18,47,.383,6,18,.333,12,29,.414,.447,24,34,.706,11,28,39,8,4,3,24,15,abilene-christian,2022
24,24,2022-02-12,@,Tarleton State,REG (Conf),W,77,63,,30,59,.508,7,20,.350,23,39,.590,.568,10,12,.833,12,18,30,21,7,1,10,17,22,50,.440,3,15,.200,19,35,.543,.470,16,20,.800,10,17,27,11,2,1,13,14,abilene-christian,2022
25,25,2022-02-17,@,Sam Houston State,REG (Conf),L,71,75,OT,22,61,.361,4,25,.160,18,36,.500,.393,23,26,.885,13,30,43,13,7,2,15,24,27,60,.450,5,18,.278,22,42,.524,.492,16,25,.640,7,22,29,12,7,2,11,19,abilene-christian,2022
26,26,2022-02-24,,Lamar,REG (Conf),W,77,42,,26,65,.400,9,27,.333,17,38,.447,.469,16,22,.727,10,22,32,18,22,4,14,20,12,40,.300,2,13,.154,10,27,.370,.325,16,21,.762,7,27,34,4,5,6,37,18,abilene-christian,2022
